"","date","Abundance","Genus"
"64",2021-05-04,34.5736724008975,"Zoogloea"
"30",2021-06-15,22.6050874977449,"Dechloromonas"
"2",2021-05-25,14.3921057531186,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"109",2021-11-12,10.2764537654909,"Cloacibacterium"
"46",2021-07-06,10.265827212312,"Dechloromonas"
"61",2021-05-12,10.0209563726424,"Zoogloea"
"118",2021-12-03,9.37025796661609,"Cloacibacterium"
"36",2021-07-06,9.25148653375306,"Dechloromonas"
"84",2021-09-07,8.58310626702997,"Ca_Accumulibacter"
"78",2021-08-17,8.51539652503011,"Ca_Accumulibacter"
"44",2021-06-15,8.46112213602742,"Dechloromonas"
"73",2021-07-27,8.4239599516658,"Ca_Accumulibacter"
"70",2021-07-06,8.4120321790836,"Zoogloea"
"62",2021-07-27,6.97393405834628,"Zoogloea"
"108",2021-08-17,6.96714261138827,"Thauera"
"106",2021-09-07,6.59059945504087,"Thauera"
"81",2021-09-28,5.92940358198574,"Ca_Accumulibacter"
"102",2021-07-06,5.9286463798531,"Thauera"
"60",2021-09-07,5.84128065395095,"Thauera"
"82",2021-11-12,5.60533841754051,"Ca_Accumulibacter"
"76",2021-10-21,5.49488646212515,"Ca_Accumulibacter"
"79",2021-12-03,5.33004552352049,"Ca_Accumulibacter"
"87",2021-10-21,5.23487606170914,"Plasticicumulans"
"50",2021-08-17,5.12644073628075,"Thauera"
"92",2021-09-28,5.02521300643366,"Plasticicumulans"
"103",2021-09-28,4.81655364284472,"Thauera"
"42",2021-07-27,4.8161574313827,"Dechloromonas"
"99",2021-07-27,4.8161574313827,"Thauera"
"3",2021-06-15,4.5643153526971,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"104",2021-05-25,4.4684416309812,"Thauera"
"107",2021-10-21,4.43751083376668,"Thauera"
"80",2021-07-06,4.30220356768101,"Ca_Accumulibacter"
"19",2021-09-28,4.29490523387237,"Ca_Accumulibacter"
