"","MF_B1","MF_B10","MF_B11","MF_B12","MF_B2","MF_B3","MF_B4","MF_B5","MF_B6","MF_B7","MF_B8","MF_B9"
"5b4676d996816a7ecafd1d3a4e823766",0,0,0,0,0,0,0.0180407721450478,0,0,0,0,0
"bfe7a3fcd86dab399659901f1f56771a",0,0,0,0,0,0,0,0,0,0,0.0340599455040872,0
"b4b5b1fdeca2a56f1cc8509d31ff35e0",0,0,0,0,0,0,0,0.0174886323889472,0,0,0.0340599455040872,0
"df3ac02641e182959ca85e4f11b8d772",0,0,0,0,0,0,0,0,0,0,0.0340599455040872,0
"f25d0f554f69b9dfce94348c709c5c86",0,0,0,0,0,0,0,0.139909059111577,0.12083549110996,0,0,0
"60a5b8d3b1a0c8c5bc0b68c0ef06df6b",0,0.0693361067776044,0,0,0,0,0,0,0,0,0.136239782016349,0
"97722bd2b60e9610dc2f6c4e587a2b2d",0,0,0,0,0,0,0,0,0.0517866390471258,0,0,0
"728360f1f02682170f33ae4000c21a32",0.093492894540015,0,0,0,0,0,0,0,0,0,0,0
"c39f594d9d2493b66260c1f7503e5ea1",0,0,0,0,0,0.018618506795755,0,0,0,0,0,0
"186980879ed8a0eb4b01bd9decd41064",0,0.190674293638412,0.133460438512869,0.0758725341426404,0,0,0,0,0.138097704125669,0.430070531567177,0.613079019073569,0.121717962093549
"8bf6f0ccfa8c822cfe27e3260877cfb8",0,0,0,0,0,0,0,0,0,0,0.0340599455040872,0
"b59a73d0e289de57d9cec436cebc71d5",0,0,0,0,0,0,0,0,0.0517866390471258,0,0,0
"4fc1b6f60ef0f7c231513d0289e5aad4",0,0.0866701334720055,0,0,0,0,0,0,0,0,0.0510899182561308,0.121717962093549
"7e927a8b98e6717c89b86d4cdad352ec",0,0.0173340266944011,0,0,0,0,0,0,0,0,0,0
"56866af87a29d94cf395ea70dda5fed1",0,0,0.0953288846520496,0,0,0,0,0,0.189884343172795,0.0344056425253742,0.0510899182561308,0.0521648408972353
"26ce2aa108497d5c4d74c6b10317f00b",0,0.0346680533888022,0,0,0,0,0,0,0.224408769204212,0.29244796146568,0.221389645776567,0.0695531211963137
"0dd759e193b4de5ca85c70bd4a48ecab",0,0,0,0,0,0,0.090203860725239,0.524658971668416,0.414293112377007,0.137622570101497,0.085149863760218,0
"affbb2701f085304b4cdafd759d03020",0.635751682872102,0,0,0,0.590588683558773,0,0.559263936496482,0.507170339279468,0.414293112377007,0.275245140202993,0.255449591280654,0
"de66fa2e9c7e233d7ab605f4a7232bfd",0,0,0,0,0,0,0.0721630885801912,0,0,0,0,0
"eded113070cb6537746c26e4ac49910d",0,0,0,0,0,0,0,0.0349772647778944,0,0,0,0
"c2273ddef3b8ec96c1a283c1c12799cf",0,0.121338186860808,0.0953288846520496,0.113808801213961,0,0,0,0,0,0,0,0
"aa699bb6d234460376e2954c0978999f",0,0,0,0,0,0,0.0721630885801912,0,0,0,0,0
"303dd55b0125cf415b56370ceaa4a638",0.018698578908003,0,0,0,0,0,0,0,0,0,0,0
"dea4b729979602aa270dca6b711c81dc",0,0.31201248049922,0,0.113808801213961,0,0,0,0,0,0.309650782728367,0,0.260824204486176
