sample-id,absolute-filepath,direction
MF_B1,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-8-MF-B1_S56_L001_R1_001.fastq.gz,forward
MF_B1,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-8-MF-B1_S56_L001_R2_001.fastq.gz,reverse
MF_B2,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-9-MF-B2_S57_L001_R1_001.fastq.gz,forward
MF_B2,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-9-MF-B2_S57_L001_R2_001.fastq.gz,reverse
MF_B3,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-10-MF-B3_S58_L001_R1_001.fastq.gz,forward
MF_B3,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-10-MF-B3_S58_L001_R2_001.fastq.gz,reverse
MF_B4,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-11-MF-B4_S59_L001_R1_001.fastq.gz,forward
MF_B4,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-11-MF-B4_S59_L001_R2_001.fastq.gz,reverse
MF_B5,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-12-MF-B5_S60_L001_R1_001.fastq.gz,forward
MF_B5,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-12-MF-B5_S60_L001_R2_001.fastq.gz,reverse
MF_B6,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-13-MF-B6_S61_L001_R1_001.fastq.gz,forward
MF_B6,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-13-MF-B6_S61_L001_R2_001.fastq.gz,reverse
MF_B7,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-14-MF-B7_S62_L001_R1_001.fastq.gz,forward
MF_B7,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-14-MF-B7_S62_L001_R2_001.fastq.gz,reverse
MF_B8,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-15-MF-B8_S63_L001_R1_001.fastq.gz,forward
MF_B8,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-15-MF-B8_S63_L001_R2_001.fastq.gz,reverse
MF_B9,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-16-MF-B9_S64_L001_R1_001.fastq.gz,forward
MF_B9,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-16-MF-B9_S64_L001_R2_001.fastq.gz,reverse
MF_B10,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-17-MF-B10_S65_L001_R1_001.fastq.gz,forward
MF_B10,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-17-MF-B10_S65_L001_R2_001.fastq.gz,reverse
MF_B11,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-18-MF-B11_S66_L001_R1_001.fastq.gz,forward
MF_B11,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-18-MF-B11_S66_L001_R2_001.fastq.gz,reverse
MF_B12,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-19-MF-B12_S67_L001_R1_001.fastq.gz,forward
MF_B12,/projects/b1052/mckenna/cando_16s/raw_reads/GMCF-169-19-MF-B12_S67_L001_R2_001.fastq.gz,reverse
